lang,STA,SIM,XCOMET,J
en,0.5072687766978561,0.8435658306892804,0.8777432986535132,0.38384563448090775
es,0.45094474525505013,0.8317987790671865,0.86608544557259,0.3294066477354026
zh,0.9958275819100953,0.09852484653721608,0.5148825385961039,0.04956215963092922
