lang,STA,SIM,XCOMET,J
en,0.5270757238617989,0.8814990385905089,0.7311569778248668,0.3442535112695951
es,0.6295108191981602,0.883630580526924,0.9113452886712963,0.5077754671788068
zh,0.6223182963297185,0.8791995516980778,0.8587488285426436,0.4724627611756148
