lang,STA,SIM,XCOMET,J
en,0.8184984625852394,0.8642495868486253,0.640540408436209,0.4509813957800791
es,0.6319747849501537,0.8764785742629724,0.866364236021864,0.4736320303941238
zh,0.8411255406209766,0.8245568947001929,0.7499778848783724,0.5267811417870069
